COD_GEO;REG
78475;11
78478;11
78481;11
78484;11
78486;11
78490;11
78497;11
78498;11
78499;11
78501;11
78502;11
78503;11
78505;11
78506;11
78513;11
78516;11
78517;11
78518;11
78520;11
78522;11
78524;11
78528;11
78530;11
78531;11
78536;11
78537;11
78545;11
78548;11
78550;11
78551;11
78557;11
78558;11
78559;11
78561;11
78562;11
78564;11
78565;11
78567;11
78569;11
78571;11
78575;11
78576;11
78586;11
78588;11
78590;11
78591;11
78597;11
78601;11
78605;11
78606;11
78608;11
78609;11
78615;11
78616;11
78618;11
78620;11
78621;11
78623;11
78624;11
78638;11
78640;11
78642;11
78643;11
78644;11
78646;11
78647;11
78650;11
78653;11
78655;11
78668;11
78672;11
78674;11
78677;11
78681;11
78683;11
78686;11
78688;11
91001;11
91016;11
91017;11
91021;11
91022;11
91027;11
91035;11
91037;11
91038;11
91041;11
91044;11
91045;11
91047;11
91064;11
91067;11
91069;11
91075;11
91079;11
91080;11
91081;11
91085;11
91086;11
91093;11
91095;11
91097;11
91098;11
91099;11
91100;11
91103;11
91105;11
91106;11
91109;11
91111;11
91112;11
91114;11
91115;11
91121;11
91122;11
91129;11
91130;11
91131;11
91132;11
91135;11
91136;11
91137;11
91145;11
91148;11
91156;11
91159;11
91161;11
91174;11
91175;11
91179;11
91180;11
91182;11
91184;11
91186;11
91191;11
91195;11
91198;11
91200;11
91201;11
91204;11
91207;11
91215;11
91216;11
91222;11
91223;11
91225;11
91226;11
91228;11
91232;11
91235;11
91240;11
91243;11
91244;11
91247;11
91248;11
91249;11
91272;11
91273;11
91274;11
91275;11
91284;11
91286;11
91292;11
91293;11
91294;11
91312;11
91315;11
91318;11
91319;11
91326;11
91330;11
91332;11
91333;11
91338;11
91339;11
91340;11
91345;11
91347;11
91359;11
91363;11
91374;11
91376;11
91377;11
91378;11
91386;11
91390;11
91393;11
91399;11
91405;11
91408;11
91411;11
91412;11
91414;11
91421;11
91425;11
91432;11
91433;11
91434;11
91435;11
91441;11
91457;11
91458;11
91461;11
91463;11
91468;11
91469;11
91471;11
91473;11
91477;11
91479;11
91482;11
91494;11
91495;11
91507;11
91508;11
91511;11
91514;11
91519;11
91521;11
91525;11
91526;11
91533;11
91534;11
91538;11
91540;11
91544;11
91546;11
91547;11
91549;11
91552;11
91553;11
91556;11
91560;11
91568;11
91570;11
91573;11
91577;11
91578;11
91579;11
91581;11
91587;11
91589;11
91593;11
91599;11
91600;11
91602;11
91613;11
91617;11
91619;11
91629;11
91630;11
91631;11
91634;11
91635;11
91639;11
91645;11
91648;11
91649;11
91654;11
91657;11
91659;11
91661;11
91662;11
91665;11
91666;11
91667;11
91671;11
91679;11
91685;11
91687;11
91689;11
91691;11
91692;11
92002;11
